Time	Node	Type	Packets	
9	leaf-4	CacheMisses	50
9	rtr-1	CacheHits	0
9	rtr-1	CacheMisses	100
9	rtr-2	CacheHits	0
9	rtr-2	CacheMisses	100
9	root	CacheHits	0
9	root	CacheMisses	200
9.5	leaf-1	CacheHits	0
9.5	leaf-1	CacheMisses	50
9.5	leaf-2	CacheHits	0
9.5	leaf-2	CacheMisses	50
9.5	leaf-3	CacheHits	0
9.5	leaf-3	CacheMisses	50
9.5	leaf-4	CacheHits	0
9.5	leaf-4	CacheMisses	50
9.5	rtr-1	CacheHits	0
9.5	rtr-1	CacheMisses	100
9.5	rtr-2	CacheHits	0
9.5	rtr-2	CacheMisses	100
9.5	root	CacheHits	0
9.5	root	CacheMisses	200
10	leaf-1	CacheHits	0
10	leaf-1	CacheMisses	50
10	leaf-2	CacheHits	0
10	leaf-2	CacheMisses	50
10	leaf-3	CacheHits	0
10	leaf-3	CacheMisses	50
10	leaf-4	CacheHits	0
10	leaf-4	CacheMisses	50
10	rtr-1	CacheHits	0
10	rtr-1	CacheMisses	100
10	rtr-2	CacheHits	0
10	rtr-2	CacheMisses	100
10	root	CacheHits	0
10	root	CacheMisses	200
10.5	leaf-1	CacheHits	0
10.5	leaf-1	CacheMisses	50
10.5	leaf-2	CacheHits	0
10.5	leaf-2	CacheMisses	50
10.5	leaf-3	CacheHits	0
10.5	leaf-3	CacheMisses	50
10.5	leaf-4	CacheHits	0
10.5	leaf-4	CacheMisses	50
10.5	rtr-1	CacheHits	0
10.5	rtr-1	CacheMisses	100
10.5	rtr-2	CacheHits	0
10.5	rtr-2	CacheMisses	100
10.5	root	CacheHits	0
10.5	root	CacheMisses	200
11	leaf-1	CacheHits	0
11	leaf-1	CacheMisses	50
11	leaf-2	CacheHits	0
11	leaf-2	CacheMisses	50
11	leaf-3	CacheHits	0
11	leaf-3	CacheMisses	50
11	leaf-4	CacheHits	0
11	leaf-4	CacheMisses	50
11	rtr-1	CacheHits	0
11	rtr-1	CacheMisses	100
11	rtr-2	CacheHits	0
11	rtr-2	CacheMisses	100
11	root	CacheHits	0
11	root	CacheMisses	200
11.5	leaf-1	CacheHits	0
11.5	leaf-1	CacheMisses	50
11.5	leaf-2	CacheHits	0
11.5	leaf-2	CacheMisses	50
11.5	leaf-3	CacheHits	0
11.5	leaf-3	CacheMisses	50
11.5	leaf-4	CacheHits	0
11.5	leaf-4	CacheMisses	50
11.5	rtr-1	CacheHits	0
11.5	rtr-1	CacheMisses	100
11.5	rtr-2	CacheHits	0
11.5	rtr-2	CacheMisses	100
11.5	root	CacheHits	0
11.5	root	CacheMisses	200
12	leaf-1	CacheHits	0
12	leaf-1	CacheMisses	50
12	leaf-2	CacheHits	0
12	leaf-2	CacheMisses	50
12	leaf-3	CacheHits	0
12	leaf-3	CacheMisses	50
12	leaf-4	CacheHits	0
12	leaf-4	CacheMisses	50
12	rtr-1	CacheHits	0
12	rtr-1	CacheMisses	100
12	rtr-2	CacheHits	0
12	rtr-2	CacheMisses	100
12	root	CacheHits	0
12	root	CacheMisses	200
12.5	leaf-1	CacheHits	0
12.5	leaf-1	CacheMisses	50
12.5	leaf-2	CacheHits	0
12.5	leaf-2	CacheMisses	50
12.5	leaf-3	CacheHits	0
12.5	leaf-3	CacheMisses	50
12.5	leaf-4	CacheHits	0
12.5	leaf-4	CacheMisses	50
12.5	rtr-1	CacheHits	0
12.5	rtr-1	CacheMisses	100
12.5	rtr-2	CacheHits	0
12.5	rtr-2	CacheMisses	100
12.5	root	CacheHits	0
12.5	root	CacheMisses	200
13	leaf-1	CacheHits	0
13	leaf-1	CacheMisses	50
13	leaf-2	CacheHits	0
13	leaf-2	CacheMisses	50
13	leaf-3	CacheHits	0
13	leaf-3	CacheMisses	50
13	leaf-4	CacheHits	0
13	leaf-4	CacheMisses	50
13	rtr-1	CacheHits	0
13	rtr-1	CacheMisses	100
13	rtr-2	CacheHits	0
13	rtr-2	CacheMisses	100
13	root	CacheHits	0
13	root	CacheMisses	200
13.5	leaf-1	CacheHits	0
13.5	leaf-1	CacheMisses	50
13.5	leaf-2	CacheHits	0
13.5	leaf-2	CacheMisses	50
13.5	leaf-3	CacheHits	0
13.5	leaf-3	CacheMisses	50
13.5	leaf-4	CacheHits	0
13.5	leaf-4	CacheMisses	50
13.5	rtr-1	CacheHits	0
13.5	rtr-1	CacheMisses	100
13.5	rtr-2	CacheHits	0
13.5	rtr-2	CacheMisses	100
13.5	root	CacheHits	0
13.5	root	CacheMisses	200
14	leaf-1	CacheHits	0
14	leaf-1	CacheMisses	50
14	leaf-2	CacheHits	0
14	leaf-2	CacheMisses	50
14	leaf-3	CacheHits	0
14	leaf-3	CacheMisses	50
14	leaf-4	CacheHits	0
14	leaf-4	CacheMisses	50
14	rtr-1	CacheHits	0
14	rtr-1	CacheMisses	100
14	rtr-2	CacheHits	0
14	rtr-2	CacheMisses	100
14	root	CacheHits	0
14	root	CacheMisses	200
14.5	leaf-1	CacheHits	0
14.5	leaf-1	CacheMisses	50
14.5	leaf-2	CacheHits	0
14.5	leaf-2	CacheMisses	50
14.5	leaf-3	CacheHits	0
14.5	leaf-3	CacheMisses	50
14.5	leaf-4	CacheHits	0
14.5	leaf-4	CacheMisses	50
14.5	rtr-1	CacheHits	0
14.5	rtr-1	CacheMisses	100
14.5	rtr-2	CacheHits	0
14.5	rtr-2	CacheMisses	100
14.5	root	CacheHits	0
14.5	root	CacheMisses	200
15	leaf-1	CacheHits	0
15	leaf-1	CacheMisses	50
15	leaf-2	CacheHits	0
15	leaf-2	CacheMisses	50
15	leaf-3	CacheHits	0
15	leaf-3	CacheMisses	50
15	leaf-4	CacheHits	0
15	leaf-4	CacheMisses	50
15	rtr-1	CacheHits	0
15	rtr-1	CacheMisses	100
15	rtr-2	CacheHits	0
15	rtr-2	CacheMisses	100
15	root	CacheHits	0
15	root	CacheMisses	200
15.5	leaf-1	CacheHits	0
15.5	leaf-1	CacheMisses	50
15.5	leaf-2	CacheHits	0
15.5	leaf-2	CacheMisses	50
15.5	leaf-3	CacheHits	0
15.5	leaf-3	CacheMisses	50
15.5	leaf-4	CacheHits	0
15.5	leaf-4	CacheMisses	50
15.5	rtr-1	CacheHits	0
15.5	rtr-1	CacheMisses	100
15.5	rtr-2	CacheHits	0
15.5	rtr-2	CacheMisses	100
15.5	root	CacheHits	0
15.5	root	CacheMisses	200
16	leaf-1	CacheHits	0
16	leaf-1	CacheMisses	50
16	leaf-2	CacheHits	0
16	leaf-2	CacheMisses	50
16	leaf-3	CacheHits	0
16	leaf-3	CacheMisses	50
16	leaf-4	CacheHits	0
16	leaf-4	CacheMisses	50
16	rtr-1	CacheHits	0
16	rtr-1	CacheMisses	100
16	rtr-2	CacheHits	0
16	rtr-2	CacheMisses	100
16	root	CacheHits	0
16	root	CacheMisses	200
16.5	leaf-1	CacheHits	0
16.5	leaf-1	CacheMisses	50
16.5	leaf-2	CacheHits	0
16.5	leaf-2	CacheMisses	50
16.5	leaf-3	CacheHits	0
16.5	leaf-3	CacheMisses	50
16.5	leaf-4	CacheHits	0
16.5	leaf-4	CacheMisses	50
