Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.614848	Node0	0	50	FullDelay	0.114848	114848	1	4
0.624848	Node0	0	51	LastDelay	0.114848	114848	1	4
0.624848	Node0	0	51	FullDelay	0.114848	114848	1	4
0.634848	Node0	0	52	LastDelay	0.114848	114848	1	4
0.634848	Node0	0	52	FullDelay	0.114848	114848	1	4
0.644848	Node0	0	53	LastDelay	0.114848	114848	1	4
0.644848	Node0	0	53	FullDelay	0.114848	114848	1	4
0.654848	Node0	0	54	LastDelay	0.114848	114848	1	4
0.654848	Node0	0	54	FullDelay	0.114848	114848	1	4
0.664848	Node0	0	55	LastDelay	0.114848	114848	1	4
0.664848	Node0	0	55	FullDelay	0.114848	114848	1	4
0.674848	Node0	0	56	LastDelay	0.114848	114848	1	4
0.674848	Node0	0	56	FullDelay	0.114848	114848	1	4
0.684848	Node0	0	57	LastDelay	0.114848	114848	1	4
0.684848	Node0	0	57	FullDelay	0.114848	114848	1	4
0.694848	Node0	0	58	LastDelay	0.114848	114848	1	4
0.694848	Node0	0	58	FullDelay	0.114848	114848	1	4
0.704848	Node0	0	59	LastDelay	0.114848	114848	1	4
0.704848	Node0	0	59	FullDelay	0.114848	114848	1	4
0.714848	Node0	0	60	LastDelay	0.114848	114848	1	4
0.714848	Node0	0	60	FullDelay	0.114848	114848	1	4
0.724848	Node0	0	61	LastDelay	0.114848	114848	1	4
0.724848	Node0	0	61	FullDelay	0.114848	114848	1	4
0.734848	Node0	0	62	LastDelay	0.114848	114848	1	4
0.734848	Node0	0	62	FullDelay	0.114848	114848	1	4
0.744848	Node0	0	63	LastDelay	0.114848	114848	1	4
0.744848	Node0	0	63	FullDelay	0.114848	114848	1	4
0.754848	Node0	0	64	LastDelay	0.114848	114848	1	4
0.754848	Node0	0	64	FullDelay	0.114848	114848	1	4
0.764848	Node0	0	65	LastDelay	0.114848	114848	1	4
0.764848	Node0	0	65	FullDelay	0.114848	114848	1	4
0.774848	Node0	0	66	LastDelay	0.114848	114848	1	4
0.774848	Node0	0	66	FullDelay	0.114848	114848	1	4
0.784848	Node0	0	67	LastDelay	0.114848	114848	1	4
0.784848	Node0	0	67	FullDelay	0.114848	114848	1	4
0.794848	Node0	0	68	LastDelay	0.114848	114848	1	4
0.794848	Node0	0	68	FullDelay	0.114848	114848	1	4
0.804848	Node0	0	69	LastDelay	0.114848	114848	1	4
0.804848	Node0	0	69	FullDelay	0.114848	114848	1	4
0.814848	Node0	0	70	LastDelay	0.114848	114848	1	4
0.814848	Node0	0	70	FullDelay	0.114848	114848	1	4
0.824848	Node0	0	71	LastDelay	0.114848	114848	1	4
0.824848	Node0	0	71	FullDelay	0.114848	114848	1	4
0.834848	Node0	0	72	LastDelay	0.114848	114848	1	4
0.834848	Node0	0	72	FullDelay	0.114848	114848	1	4
0.844848	Node0	0	73	LastDelay	0.114848	114848	1	4
0.844848	Node0	0	73	FullDelay	0.114848	114848	1	4
0.854848	Node0	0	74	LastDelay	0.114848	114848	1	4
0.854848	Node0	0	74	FullDelay	0.114848	114848	1	4
0.864848	Node0	0	75	LastDelay	0.114848	114848	1	4
0.864848	Node0	0	75	FullDelay	0.114848	114848	1	4
0.874848	Node0	0	76	LastDelay	0.114848	114848	1	4
0.874848	Node0	0	76	FullDelay	0.114848	114848	1	4
0.884848	Node0	0	77	LastDelay	0.114848	114848	1	4
0.884848	Node0	0	77	FullDelay	0.114848	114848	1	4
0.894848	Node0	0	78	LastDelay	0.114848	114848	1	4
0.894848	Node0	0	78	FullDelay	0.114848	114848	1	4
0.904848	Node0	0	79	LastDelay	0.114848	114848	1	4
0.904848	Node0	0	79	FullDelay	0.114848	114848	1	4
0.914848	Node0	0	80	LastDelay	0.114848	114848	1	4
0.914848	Node0	0	80	FullDelay	0.114848	114848	1	4
0.924848	Node0	0	81	LastDelay	0.114848	114848	1	4
0.924848	Node0	0	81	FullDelay	0.114848	114848	1	4
0.934848	Node0	0	82	LastDelay	0.114848	114848	1	4
0.934848	Node0	0	82	FullDelay	0.114848	114848	1	4
0.944848	Node0	0	83	LastDelay	0.114848	114848	1	4
0.944848	Node0	0	83	FullDelay	0.114848	114848	1	4
0.954848	Node0	0	84	LastDelay	0.114848	114848	1	4
0.954848	Node0	0	84	FullDelay	0.114848	114848	1	4
0.964848	Node0	0	85	LastDelay	0.114848	114848	1	4
0.964848	Node0	0	85	FullDelay	0.114848	114848	1	4
0.974848	Node0	0	86	LastDelay	0.114848	114848	1	4
0.974848	Node0	0	86	FullDelay	0.114848	114848	1	4
0.984848	Node0	0	87	LastDelay	0.114848	114848	1	4
0.984848	Node0	0	87	FullDelay	0.114848	114848	1	4
0.994848	Node0	0	88	LastDelay	0.114848	114848	1	4
0.994848	Node0	0	88	FullDelay	0.114848	114848	1	4
1.00485	Node0	0	89	LastDelay	0.114848	114848	1	4
1.00485	Node0	0	89	FullDelay	0.114848	114848	1	4
1.01485	Node0	0	90	LastDelay	0.114848	114848	1	4
1.01485	Node0	0	90	FullDelay	0.114848	114848	1	4
1.02485	Node0	0	91	LastDelay	0.114848	114848	1	4
1.02485	Node0	0	91	FullDelay	0.114848	114848	1	4
1.03485	Node0	0	92	LastDelay	0.114848	114848	1	4
1.03485	Node0	0	92	FullDelay	0.114848	114848	1	4
1.04485	Node0	0	93	LastDelay	0.114848	114848	1	4
1.04485	Node0	0	93	FullDelay	0.114848	114848	1	4
1.05485	Node0	0	94	LastDelay	0.114848	114848	1	4
1.05485	Node0	0	94	FullDelay	0.114848	114848	1	4
1.06485	Node0	0	95	LastDelay	0.114848	114848	1	4
1.06485	Node0	0	95	FullDelay	0.114848	114848	1	4
1.07485	Node0	0	96	LastDelay	0.114848	114848	1	4
1.07485	Node0	0	96	FullDelay	0.114848	114848	1	4
1.08485	Node0	0	97	LastDelay	0.114848	114848	1	4
1.08485	Node0	0	97	FullDelay	0.114848	114848	1	4
1.09485	Node0	0	98	LastDelay	0.114848	114848	1	4
1.09485	Node0	0	98	FullDelay	0.114848	114848	1	4
1.10485	Node0	0	99	LastDelay	0.114848	114848	1	4
1.10485	Node0	0	99	FullDelay	0.114848	114848	1	4
1.11485	Node0	0	100	LastDelay	0.114848	114848	1	4
1.11485	Node0	0	100	FullDelay	0.114848	114848	1	4
1.12485	Node0	0	101	LastDelay	0.114848	114848	1	4
1.12485	Node0	0	101	FullDelay	0.114848	114848	1	4
1.13485	Node0	0	102	LastDelay	0.114848	114848	1	4
1.13485	Node0	0	102	FullDelay	0.114848	114848	1	4
1.14485	Node0	0	103	LastDelay	0.114848	114848	1	4
1.14485	Node0	0	103	FullDelay	0.114848	114848	1	4
1.15485	Node0	0	104	LastDelay	0.114848	114848	1	4
1.15485	Node0	0	104	FullDelay	0.114848	114848	1	4
1.16485	Node0	0	105	LastDelay	0.114848	114848	1	4
1.16485	Node0	0	105	FullDelay	0.114848	114848	1	4
1.17485	Node0	0	106	LastDelay	0.114848	114848	1	4
1.17485	Node0	0	106	FullDelay	0.114848	114848	1	4
1.18485	Node0	0	107	LastDelay	0.114848	114848	1	4
1.18485	Node0	0	107	FullDelay	0.114848	114848	1	4
1.19485	Node0	0	108	LastDelay	0.114848	114848	1	4
1.19485	Node0	0	108	FullDelay	0.114848	114848	1	4
1.20485	Node0	0	109	LastDelay	0.114848	114848	1	4
1.20485	Node0	0	109	FullDelay	0.114848	114848	1	4
1.21485	Node0	0	110	LastDelay	0.114848	114848	1	4
1.21485	Node0	0	110	FullDelay	0.114848	114848	1	4
1.22485	Node0	0	111	LastDelay	0.114848	114848	1	4
1.22485	Node0	0	111	FullDelay	0.114848	114848	1	4
1.23485	Node0	0	112	LastDelay	0.114848	114848	1	4
1.23485	Node0	0	112	FullDelay	0.114848	114848	1	4
1.24485	Node0	0	113	LastDelay	0.114848	114848	1	4
1.24485	Node0	0	113	FullDelay	0.114848	114848	1	4
1.25485	Node0	0	114	LastDelay	0.114848	114848	1	4
1.25485	Node0	0	114	FullDelay	0.114848	114848	1	4
1.26485	Node0	0	115	LastDelay	0.114848	114848	1	4
1.26485	Node0	0	115	FullDelay	0.114848	114848	1	4
1.27485	Node0	0	116	LastDelay	0.114848	114848	1	4
1.27485	Node0	0	116	FullDelay	0.114848	114848	1	4
1.28485	Node0	0	117	LastDelay	0.114848	114848	1	4
1.28485	Node0	0	117	FullDelay	0.114848	114848	1	4
1.29485	Node0	0	118	LastDelay	0.114848	114848	1	4
1.29485	Node0	0	118	FullDelay	0.114848	114848	1	4
1.30485	Node0	0	119	LastDelay	0.114848	114848	1	4
1.30485	Node0	0	119	FullDelay	0.114848	114848	1	4
1.31485	Node0	0	120	LastDelay	0.114848	114848	1	4
1.31485	Node0	0	120	FullDelay	0.114848	114848	1	4
1.32485	Node0	0	121	LastDelay	0.114848	114848	1	4
1.32485	Node0	0	121	FullDelay	0.114848	114848	1	4
1.33485	Node0	0	122	LastDelay	0.114848	114848	1	4
1.33485	Node0	0	122	FullDelay	0.114848	114848	1	4
1.34485	Node0	0	123	LastDelay	0.114848	114848	1	4
1.34485	Node0	0	123	FullDelay	0.114848	114848	1	4
1.35485	Node0	0	124	LastDelay	0.114848	114848	1	4
1.35485	Node0	0	124	FullDelay	0.114848	114848	1	4
1.36485	Node0	0	125	LastDelay	0.114848	114848	1	4
1.36485	Node0	0	125	FullDelay	0.114848	114848	1	4
1.37485	Node0	0	126	LastDelay	0.114848	114848	1	4
1.37485	Node0	0	126	FullDelay	0.114848	114848	1	4
1.38485	Node0	0	127	LastDelay	0.114848	114848	1	4
1.38485	Node0	0	127	FullDelay	0.114848	114848	1	4
1.39485	Node0	0	128	LastDelay	0.114848	114848	1	4
1.39485	Node0	0	128	FullDelay	0.114848	114848	1	4
1.40485	Node0	0	129	LastDelay	0.114848	114848	1	4
1.40485	Node0	0	129	FullDelay	0.114848	114848	1	4
1.41485	Node0	0	130	LastDelay	0.114848	114848	1	4
1.41485	Node0	0	130	FullDelay	0.114848	114848	1	4
1.42485	Node0	0	131	LastDelay	0.114848	114848	1	4
1.42485	Node0	0	131	FullDelay	0.114848	114848	1	4
1.43485	Node0	0	132	LastDelay	0.114848	114848	1	4
1.43485	Node0	0	132	FullDelay	0.114848	114848	1	4
1.44485	Node0	0	133	LastDelay	0.114848	114848	1	4
1.44485	Node0	0	133	FullDelay	0.114848	114848	1	4
1.45485	Node0	0	134	LastDelay	0.114848	114848	1	4
1.45485	Node0	0	134	FullDelay	0.114848	114848	1	4
1.46485	Node0	0	135	LastDelay	0.114848	114848	1	4
1.46485	Node0	0	135	FullDelay	0.114848	114848	1	4
1.47485	Node0	0	136	LastDelay	0.114848	114848	1	4
1.47485	Node0	0	136	FullDelay	0.114848	114848	1	4
1.48485	Node0	0	137	LastDelay	0.114848	114848	1	4
1.48485	Node0	0	137	FullDelay	0.114848	114848	1	4
1.49485	Node0	0	138	LastDelay	0.114848	114848	1	4
1.49485	Node0	0	138	FullDelay	0.114848	114848	1	4
1.50485	Node0	0	139	LastDelay	0.114848	114848	1	4
1.50485	Node0	0	139	FullDelay	0.114848	114848	1	4
1.51485	Node0	0	140	LastDelay	0.114848	114848	1	4
1.51485	Node0	0	140	FullDelay	0.114848	114848	1	4
1.52485	Node0	0	141	LastDelay	0.114848	114848	1	4
1.52485	Node0	0	141	FullDelay	0.114848	114848	1	4
1.53485	Node0	0	142	LastDelay	0.114848	114848	1	4
1.53485	Node0	0	142	FullDelay	0.114848	114848	1	4
1.54485	Node0	0	143	LastDelay	0.114848	114848	1	4
1.54485	Node0	0	143	FullDelay	0.114848	114848	1	4
1.55485	Node0	0	144	LastDelay	0.114848	114848	1	4
1.55485	Node0	0	144	FullDelay	0.114848	114848	1	4
1.56485	Node0	0	145	LastDelay	0.114848	114848	1	4
1.56485	Node0	0	145	FullDelay	0.114848	114848	1	4
1.57485	Node0	0	146	LastDelay	0.114848	114848	1	4
1.57485	Node0	0	146	FullDelay	0.114848	114848	1	4
1.58485	Node0	0	147	LastDelay	0.114848	114848	1	4
1.58485	Node0	0	147	FullDelay	0.114848	114848	1	4
1.59485	Node0	0	148	LastDelay	0.114848	114848	1	4
1.59485	Node0	0	148	FullDelay	0.114848	114848	1	4
1.60485	Node0	0	149	LastDelay	0.114848	114848	1	4
1.60485	Node0	0	149	FullDelay	0.114848	114848	1	4
1.61485	Node0	0	150	LastDelay	0.114848	114848	1	4
1.61485	Node0	0	150	FullDelay	0.114848	114848	1	4
1.62485	Node0	0	151	LastDelay	0.114848	114848	1	4
1.62485	Node0	0	151	FullDelay	0.114848	114848	1	4
1.63485	Node0	0	152	LastDelay	0.114848	114848	1	4
1.63485	Node0	0	152	FullDelay	0.114848	114848	1	4
1.64485	Node0	0	153	LastDelay	0.114848	114848	1	4
1.64485	Node0	0	153	FullDelay	0.114848	114848	1	4
1.65485	Node0	0	154	LastDelay	0.114848	114848	1	4
1.65485	Node0	0	154	FullDelay	0.114848	114848	1	4
1.66485	Node0	0	155	LastDelay	0.114848	114848	1	4
1.66485	Node0	0	155	FullDelay	0.114848	114848	1	4
1.67485	Node0	0	156	LastDelay	0.114848	114848	1	4
1.67485	Node0	0	156	FullDelay	0.114848	114848	1	4
1.68485	Node0	0	157	LastDelay	0.114848	114848	1	4
1.68485	Node0	0	157	FullDelay	0.114848	114848	1	4
1.69485	Node0	0	158	LastDelay	0.114848	114848	1	4
1.69485	Node0	0	158	FullDelay	0.114848	114848	1	4
1.70485	Node0	0	159	LastDelay	0.114848	114848	1	4
1.70485	Node0	0	159	FullDelay	0.114848	114848	1	4
1.71485	Node0	0	160	LastDelay	0.114848	114848	1	4
1.71485	Node0	0	160	FullDelay	0.114848	114848	1	4
1.72485	Node0	0	161	LastDelay	0.114848	114848	1	4
1.72485	Node0	0	161	FullDelay	0.114848	114848	1	4
1.73485	Node0	0	162	LastDelay	0.114848	114848	1	4
1.73485	Node0	0	162	FullDelay	0.114848	114848	1	4
1.74485	Node0	0	163	LastDelay	0.114848	114848	1	4
1.74485	Node0	0	163	FullDelay	0.114848	114848	1	4
1.75485	Node0	0	164	LastDelay	0.114848	114848	1	4
1.75485	Node0	0	164	FullDelay	0.114848	114848	1	4
1.76485	Node0	0	165	LastDelay	0.114848	114848	1	4
1.76485	Node0	0	165	FullDelay	0.114848	114848	1	4
1.77485	Node0	0	166	LastDelay	0.114848	114848	1	4
1.77485	Node0	0	166	FullDelay	0.114848	114848	1	4
