Time	Node	Type	Packets	
14	3	CacheHits	0
14	3	CacheMisses	5
14.5	0	CacheHits	0
14.5	0	CacheMisses	5
14.5	1	CacheHits	0
14.5	1	CacheMisses	5
14.5	2	CacheHits	0
14.5	2	CacheMisses	5
14.5	3	CacheHits	0
14.5	3	CacheMisses	5
15	0	CacheHits	0
15	0	CacheMisses	5
15	1	CacheHits	0
15	1	CacheMisses	5
15	2	CacheHits	0
15	2	CacheMisses	5
15	3	CacheHits	0
15	3	CacheMisses	5
15.5	0	CacheHits	0
15.5	0	CacheMisses	5
15.5	1	CacheHits	0
15.5	1	CacheMisses	5
15.5	2	CacheHits	0
15.5	2	CacheMisses	5
15.5	3	CacheHits	0
15.5	3	CacheMisses	5
16	0	CacheHits	0
16	0	CacheMisses	5
16	1	CacheHits	0
16	1	CacheMisses	5
16	2	CacheHits	0
16	2	CacheMisses	5
16	3	CacheHits	0
16	3	CacheMisses	5
16.5	0	CacheHits	0
16.5	0	CacheMisses	5
16.5	1	CacheHits	0
16.5	1	CacheMisses	5
16.5	2	CacheHits	0
16.5	2	CacheMisses	5
16.5	3	CacheHits	0
16.5	3	CacheMisses	5
17	0	CacheHits	0
17	0	CacheMisses	5
17	1	CacheHits	0
17	1	CacheMisses	5
17	2	CacheHits	0
17	2	CacheMisses	5
17	3	CacheHits	0
17	3	CacheMisses	5
17.5	0	CacheHits	0
17.5	0	CacheMisses	5
17.5	1	CacheHits	0
17.5	1	CacheMisses	5
17.5	2	CacheHits	0
17.5	2	CacheMisses	5
17.5	3	CacheHits	0
17.5	3	CacheMisses	5
18	0	CacheHits	0
18	0	CacheMisses	5
18	1	CacheHits	0
18	1	CacheMisses	5
18	2	CacheHits	0
18	2	CacheMisses	5
18	3	CacheHits	0
18	3	CacheMisses	5
18.5	0	CacheHits	0
18.5	0	CacheMisses	5
18.5	1	CacheHits	0
18.5	1	CacheMisses	5
18.5	2	CacheHits	0
18.5	2	CacheMisses	5
18.5	3	CacheHits	0
18.5	3	CacheMisses	5
19	0	CacheHits	0
19	0	CacheMisses	5
19	1	CacheHits	0
19	1	CacheMisses	5
19	2	CacheHits	0
19	2	CacheMisses	5
19	3	CacheHits	0
19	3	CacheMisses	5
19.5	0	CacheHits	0
19.5	0	CacheMisses	5
19.5	1	CacheHits	0
19.5	1	CacheMisses	5
19.5	2	CacheHits	0
19.5	2	CacheMisses	5
19.5	3	CacheHits	0
19.5	3	CacheMisses	5
20	0	CacheHits	0
20	0	CacheMisses	5
20	1	CacheHits	0
20	1	CacheMisses	5
20	2	CacheHits	0
20	2	CacheMisses	5
20	3	CacheHits	0
20	3	CacheMisses	5
