Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0929232	Src4	0	5	FullDelay	0.0884433	88443.3	1	4
0.0929232	Src7	0	5	LastDelay	0.089701	89701	1	4
0.0929232	Src7	0	5	FullDelay	0.089701	89701	1	4
0.0937704	Src2	0	3	LastDelay	0.0902558	90255.8	1	4
0.0937704	Src2	0	3	FullDelay	0.0902558	90255.8	1	4
0.0937704	Src4	0	6	LastDelay	0.0886956	88695.6	1	4
0.0937704	Src4	0	6	FullDelay	0.0886956	88695.6	1	4
0.0937704	Src8	0	3	LastDelay	0.0902908	90290.8	1	4
0.0937704	Src8	0	3	FullDelay	0.0902908	90290.8	1	4
0.0946176	Src2	0	4	LastDelay	0.0899303	89930.3	1	4
0.0946176	Src2	0	4	FullDelay	0.0899303	89930.3	1	4
0.0946176	Src6	0	3	LastDelay	0.0893123	89312.3	1	4
0.0946176	Src6	0	3	FullDelay	0.0893123	89312.3	1	4
0.0946176	Src9	0	6	LastDelay	0.08983	89830	1	4
0.0946176	Src9	0	6	FullDelay	0.08983	89830	1	4
0.0954648	Src3	0	8	LastDelay	0.0900878	90087.8	1	4
0.0954648	Src3	0	8	FullDelay	0.0900878	90087.8	1	4
0.0954648	Src5	0	5	LastDelay	0.090118	90118	1	4
0.0954648	Src5	0	5	FullDelay	0.090118	90118	1	4
0.0954648	Src8	0	7	LastDelay	0.0896611	89661.1	1	4
0.0954648	Src8	0	7	FullDelay	0.0896611	89661.1	1	4
0.096312	Src3	0	9	LastDelay	0.0899721	89972.1	1	4
0.096312	Src3	0	9	FullDelay	0.0899721	89972.1	1	4
0.096312	Src5	0	7	LastDelay	0.0902646	90264.6	1	4
0.096312	Src5	0	7	FullDelay	0.0902646	90264.6	1	4
0.096312	Src7	0	9	LastDelay	0.0903579	90357.9	1	4
0.096312	Src7	0	9	FullDelay	0.0903579	90357.9	1	4
0.0971592	Src1	0	9	LastDelay	0.0897284	89728.4	1	4
0.0971592	Src1	0	9	FullDelay	0.0897284	89728.4	1	4
0.0971592	Src6	0	5	LastDelay	0.0902551	90255.1	1	4
0.0971592	Src6	0	5	FullDelay	0.0902551	90255.1	1	4
0.0971592	Src8	0	9	LastDelay	0.0902457	90245.7	1	4
0.0971592	Src8	0	9	FullDelay	0.0902457	90245.7	1	4
0.0980064	Src1	0	10	LastDelay	0.0897635	89763.5	1	4
0.0980064	Src1	0	10	FullDelay	0.0897635	89763.5	1	4
0.0980064	Src5	0	8	LastDelay	0.0902673	90267.3	1	4
0.0980064	Src5	0	8	FullDelay	0.0902673	90267.3	1	4
0.0980064	Src9	0	11	LastDelay	0.0902985	90298.5	1	4
0.0980064	Src9	0	11	FullDelay	0.0902985	90298.5	1	4
0.0988536	Src2	0	7	LastDelay	0.090381	90381	1	4
0.0988536	Src2	0	7	FullDelay	0.090381	90381	1	4
0.0988536	Src4	0	9	LastDelay	0.0900244	90024.4	1	4
0.0988536	Src4	0	9	FullDelay	0.0900244	90024.4	1	4
0.0988536	Src8	0	10	LastDelay	0.0902996	90299.6	1	4
0.0988536	Src8	0	10	FullDelay	0.0902996	90299.6	1	4
0.0997008	Src2	0	8	LastDelay	0.0903278	90327.8	1	4
0.0997008	Src2	0	8	FullDelay	0.0903278	90327.8	1	4
0.0997008	Src5	0	10	LastDelay	0.0898299	89829.9	1	4
0.0997008	Src5	0	10	FullDelay	0.0898299	89829.9	1	4
0.0997008	Src7	0	11	LastDelay	0.0903079	90307.9	1	4
0.0997008	Src7	0	11	FullDelay	0.0903079	90307.9	1	4
0.100548	Src2	0	10	LastDelay	0.0902394	90239.4	1	4
0.100548	Src2	0	10	FullDelay	0.0902394	90239.4	1	4
0.100548	Src6	0	7	LastDelay	0.0901106	90110.6	1	4
0.100548	Src6	0	7	FullDelay	0.0901106	90110.6	1	4
0.100548	Src9	0	14	LastDelay	0.0896146	89614.6	1	4
0.100548	Src9	0	14	FullDelay	0.0896146	89614.6	1	4
0.101395	Src2	0	12	LastDelay	0.0900815	90081.5	1	4
0.101395	Src2	0	12	FullDelay	0.0900815	90081.5	1	4
0.101395	Src6	0	9	LastDelay	0.0900767	90076.7	1	4
0.101395	Src6	0	9	FullDelay	0.0900767	90076.7	1	4
0.101395	Src8	0	14	LastDelay	0.0902425	90242.5	1	4
0.101395	Src8	0	14	FullDelay	0.0902425	90242.5	1	4
0.102242	Src1	0	14	LastDelay	0.0899853	89985.3	1	4
0.102242	Src1	0	14	FullDelay	0.0899853	89985.3	1	4
0.102242	Src5	0	12	LastDelay	0.0900426	90042.6	1	4
0.102242	Src5	0	12	FullDelay	0.0900426	90042.6	1	4
0.102242	Src8	0	15	LastDelay	0.0903416	90341.6	1	4
0.102242	Src8	0	15	FullDelay	0.0903416	90341.6	1	4
0.10309	Src2	0	13	LastDelay	0.0897956	89795.6	1	4
0.10309	Src2	0	13	FullDelay	0.0897956	89795.6	1	4
0.10309	Src5	0	13	LastDelay	0.0895815	89581.5	1	4
0.10309	Src5	0	13	FullDelay	0.0895815	89581.5	1	4
0.10309	Src8	0	16	LastDelay	0.0903009	90300.9	1	4
0.10309	Src8	0	16	FullDelay	0.0903009	90300.9	1	4
0.103937	Src1	0	15	LastDelay	0.0898984	89898.4	1	4
0.103937	Src1	0	15	FullDelay	0.0898984	89898.4	1	4
0.103937	Src4	0	14	LastDelay	0.0900029	90002.9	1	4
0.103937	Src4	0	14	FullDelay	0.0900029	90002.9	1	4
0.103937	Src9	0	16	LastDelay	0.0901728	90172.8	1	4
0.103937	Src9	0	16	FullDelay	0.0901728	90172.8	1	4
0.104784	Src3	0	18	LastDelay	0.0903299	90329.9	1	4
0.104784	Src3	0	18	FullDelay	0.0903299	90329.9	1	4
0.104784	Src5	0	14	LastDelay	0.0897758	89775.8	1	4
0.104784	Src5	0	14	FullDelay	0.0897758	89775.8	1	4
0.104784	Src7	0	16	LastDelay	0.0903048	90304.8	1	4
0.104784	Src7	0	16	FullDelay	0.0903048	90304.8	1	4
0.105631	Src1	0	16	LastDelay	0.0903572	90357.2	1	4
0.105631	Src1	0	16	FullDelay	0.0903572	90357.2	1	4
0.105631	Src6	0	12	LastDelay	0.0902002	90200.2	1	4
0.105631	Src6	0	12	FullDelay	0.0902002	90200.2	1	4
0.105631	Src8	0	18	LastDelay	0.090291	90291	1	4
0.105631	Src8	0	18	FullDelay	0.090291	90291	1	4
0.106478	Src1	0	17	LastDelay	0.089864	89864	1	4
0.106478	Src1	0	17	FullDelay	0.089864	89864	1	4
0.106478	Src5	0	15	LastDelay	0.0902212	90221.2	1	4
0.106478	Src5	0	15	FullDelay	0.0902212	90221.2	1	4
0.106478	Src7	0	18	LastDelay	0.0900949	90094.9	1	4
0.106478	Src7	0	18	FullDelay	0.0900949	90094.9	1	4
0.107326	Src3	0	21	LastDelay	0.0903559	90355.9	1	4
0.107326	Src3	0	21	FullDelay	0.0903559	90355.9	1	4
0.107326	Src5	0	16	LastDelay	0.0902988	90298.8	1	4
0.107326	Src5	0	16	FullDelay	0.0902988	90298.8	1	4
0.107326	Src8	0	19	LastDelay	0.0900785	90078.5	1	4
0.107326	Src8	0	19	FullDelay	0.0900785	90078.5	1	4
0.108173	Src2	0	19	LastDelay	0.0902073	90207.3	1	4
0.108173	Src2	0	19	FullDelay	0.0902073	90207.3	1	4
0.108173	Src6	0	15	LastDelay	0.0900711	90071.1	1	4
0.108173	Src6	0	15	FullDelay	0.0900711	90071.1	1	4
0.108173	Src9	0	21	LastDelay	0.0902146	90214.6	1	4
0.108173	Src9	0	21	FullDelay	0.0902146	90214.6	1	4
0.10902	Src3	0	24	LastDelay	0.0901363	90136.3	1	4
0.10902	Src3	0	24	FullDelay	0.0901363	90136.3	1	4
