Time	Node	Type	Packets	
6	1	CacheHits	0
6	1	CacheMisses	50
6	2	CacheHits	0
6	2	CacheMisses	50
6	3	CacheHits	0
6	3	CacheMisses	50
6.5	0	CacheHits	0
6.5	0	CacheMisses	50
6.5	1	CacheHits	0
6.5	1	CacheMisses	50
6.5	2	CacheHits	0
6.5	2	CacheMisses	50
6.5	3	CacheHits	0
6.5	3	CacheMisses	50
7	0	CacheHits	0
7	0	CacheMisses	50
7	1	CacheHits	0
7	1	CacheMisses	50
7	2	CacheHits	0
7	2	CacheMisses	50
7	3	CacheHits	0
7	3	CacheMisses	50
7.5	0	CacheHits	0
7.5	0	CacheMisses	50
7.5	1	CacheHits	0
7.5	1	CacheMisses	50
7.5	2	CacheHits	0
7.5	2	CacheMisses	50
7.5	3	CacheHits	0
7.5	3	CacheMisses	50
8	0	CacheHits	0
8	0	CacheMisses	50
8	1	CacheHits	0
8	1	CacheMisses	50
8	2	CacheHits	0
8	2	CacheMisses	50
8	3	CacheHits	0
8	3	CacheMisses	50
8.5	0	CacheHits	0
8.5	0	CacheMisses	50
8.5	1	CacheHits	0
8.5	1	CacheMisses	50
8.5	2	CacheHits	0
8.5	2	CacheMisses	50
8.5	3	CacheHits	0
8.5	3	CacheMisses	50
9	0	CacheHits	0
9	0	CacheMisses	50
9	1	CacheHits	0
9	1	CacheMisses	50
9	2	CacheHits	0
9	2	CacheMisses	50
9	3	CacheHits	0
9	3	CacheMisses	50
9.5	0	CacheHits	0
9.5	0	CacheMisses	50
9.5	1	CacheHits	0
9.5	1	CacheMisses	50
9.5	2	CacheHits	0
9.5	2	CacheMisses	50
9.5	3	CacheHits	0
9.5	3	CacheMisses	50
10	0	CacheHits	0
10	0	CacheMisses	50
10	1	CacheHits	0
10	1	CacheMisses	50
10	2	CacheHits	0
10	2	CacheMisses	50
10	3	CacheHits	0
10	3	CacheMisses	50
10.5	0	CacheHits	0
10.5	0	CacheMisses	50
10.5	1	CacheHits	0
10.5	1	CacheMisses	50
10.5	2	CacheHits	0
10.5	2	CacheMisses	50
10.5	3	CacheHits	0
10.5	3	CacheMisses	50
11	0	CacheHits	0
11	0	CacheMisses	50
11	1	CacheHits	0
11	1	CacheMisses	50
11	2	CacheHits	0
11	2	CacheMisses	50
11	3	CacheHits	0
11	3	CacheMisses	50
11.5	0	CacheHits	0
11.5	0	CacheMisses	50
11.5	1	CacheHits	0
11.5	1	CacheMisses	50
11.5	2	CacheHits	0
11.5	2	CacheMisses	50
11.5	3	CacheHits	0
11.5	3	CacheMisses	50
12	0	CacheHits	0
12	0	CacheMisses	50
12	1	CacheHits	0
12	1	CacheMisses	50
12	2	CacheHits	0
12	2	CacheMisses	50
12	3	CacheHits	0
12	3	CacheMisses	50
12.5	0	CacheHits	0
12.5	0	CacheMisses	50
12.5	1	CacheHits	0
12.5	1	CacheMisses	50
12.5	2	CacheHits	0
12.5	2	CacheMisses	50
12.5	3	CacheHits	0
12.5	3	CacheMisses	50
13	0	CacheHits	0
13	0	CacheMisses	50
13	1	CacheHits	0
13	1	CacheMisses	50
13	2	CacheHits	0
13	2	CacheMisses	50
13	3	CacheHits	0
13	3	CacheMisses	50
13.5	0	CacheHits	0
13.5	0	CacheMisses	50
13.5	1	CacheHits	0
13.5	1	CacheMisses	50
13.5	2	CacheHits	0
13.5	2	CacheMisses	50
13.5	3	CacheHits	0
13.5	3	CacheMisses	50
14	0	CacheHits	0
14	0	CacheMisses	50
14	1	CacheHits	0
14	1	CacheMisses	50
14	2	CacheHits	0
14	2	CacheMisses	50
14	3	CacheHits	0
14	3	CacheMisses	50
14.5	0	CacheHits	0
14.5	0	CacheMisses	50
14.5	1	CacheHits	0
14.5	1	CacheMisses	50
14.5	2	CacheHits	0
14.5	2	CacheMisses	50
14.5	3	CacheHits	0
14.5	3	CacheMisses	50
15	0	CacheHits	0
15	0	CacheMisses	50
15	1	CacheHits	0
15	1	CacheMisses	50
15	2	CacheHits	0
15	2	CacheMisses	50
15	3	CacheHits	0
15	3	CacheMisses	50
15.5	0	CacheHits	0
15.5	0	CacheMisses	50
15.5	1	CacheHits	0
15.5	1	CacheMisses	50
15.5	2	CacheHits	0
15.5	2	CacheMisses	50
15.5	3	CacheHits	0
15.5	3	CacheMisses	50
16	0	CacheHits	0
16	0	CacheMisses	50
16	1	CacheHits	0
16	1	CacheMisses	50
16	2	CacheHits	0
16	2	CacheMisses	50
16	3	CacheHits	0
16	3	CacheMisses	50
16.5	0	CacheHits	0
16.5	0	CacheMisses	50
16.5	1	CacheHits	0
16.5	1	CacheMisses	50
16.5	2	CacheHits	0
16.5	2	CacheMisses	50
16.5	3	CacheHits	0
16.5	3	CacheMisses	50
17	0	CacheHits	0
17	0	CacheMisses	50
17	1	CacheHits	0
17	1	CacheMisses	50
17	2	CacheHits	0
17	2	CacheMisses	50
17	3	CacheHits	0
17	3	CacheMisses	50
17.5	0	CacheHits	0
17.5	0	CacheMisses	50
17.5	1	CacheHits	0
